x pre jdk7 classic classic_ite wild yaro yaro_opt yaro_opt_13 triple
100 0.999027001358 1.07764939969 0.97789118334 1.00244217037 1.02813204035 1.00301725528 0.989691494084 1.04021539403 1.08504506625 
300 0.981342314887 1.05026346693 0.990694885101 0.93739787578 1.00412985962 0.957824507698 0.997486616432 0.979270934396 1.0505245395 
1000 0.984362862094 0.996040801905 1.04107205101 0.917588199038 1.00761256086 1.02021652194 1.02372275715 1.03348742812 1.0049704247 
3000 0.996149142839 1.01091951469 0.967465685573 0.8265436722 0.907457864924 0.951740882149 0.979217386562 0.951284146566 0.979645044267 
10000 0.913195098361 0.929905077331 0.859697824085 0.700013670335 0.909557068777 0.930788545175 0.897360379075 0.862203934679 0.92140130868 
30000 0.899204560836 0.814915602767 0.79549402239 0.667044015751 0.879568410674 0.840937086159 0.853558196931 0.849665602821 0.839412995569 
100000 0.988353110206 0.794241538212 0.71050993461 0.85351365918 0.747715659559 0.826947589618 0.840655268807 0.803130086928 0.774552374031 
300000 1.00764055176 0.804851750003 0.979764804717 1.16686904421 1.14139673521 0.996227780358 0.851770651411 0.770378042787 0.784410100762 
1000000 1.11563479327 1.06711693989 0.970444000157 1.81783270128 0.936245216167 1.19478788 1.0610138519 1.09021957196 1.05858710363 
3000000 1.41212010454 1.19057725818 1.06770646866 2.68210102822 1.10890354377 1.33155120394 1.29597550776 1.21737271325 1.21320824787 
10000000 1.84910637024 1.32674967161 1.14178081096 2.67340922938 1.17800811942 1.4684953437 1.38885617024 1.3550930045 1.28169426649 
