100
35625182,branches,1.39%
1996649,branch-misses,2.42%


10000
8925913,cache-references,0.83%
81511,cache-misses,3.03%
34005146,branches,1.06%
1789595,branch-misses,2.06%

jdk7
9523015,cache-references,1.40%
88555,cache-misses,4.43%
41675549,branches,0.97%
2181656,branch-misses,1.63%

classic
9745052,cache-references,1.01%
83778,cache-misses,3.01%
41767077,branches,1.15%
2193768,branch-misses,2.54%

classic_ite
13620734,cache-references,0.83%
95347,cache-misses,3.12%
49680940,branches,0.80%
2981488,branch-misses,1.26%

wild
10528971,cache-references,1.19%
95767,cache-misses,3.44%
48603274,branches,1.21%
2727478,branch-misses,1.66%

yaro
9639676,cache-references,1.49%
89725,cache-misses,3.18%
42723394,branches,1.14%
2180876,branch-misses,1.89%

yaro_opt
9698779,cache-references,1.64%
87033,cache-misses,3.13%
42644049,branches,0.91%
2279196,branch-misses,2.01%

yaro_opt_13
9721250,cache-references,1.78%
83817,cache-misses,3.36%
43086366,branches,1.17%
2353848,branch-misses,2.44%

triple
10016808,cache-references,1.33%
92295,cache-misses,2.53%
46711613,branches,0.73%
2625162,branch-misses,2.01%


30000
9419325,cache-references,1.03%
84699,cache-misses,3.31%
37888406,branches,0.94%
1955496,branch-misses,2.44%

jdk7
11453456,cache-references,1.47%
93336,cache-misses,3.22%
64520005,branches,0.92%
3186206,branch-misses,1.33%

classic
11508446,cache-references,1.17%
91549,cache-misses,2.71%
53189520,branches,1.14%
2784266,branch-misses,1.35%

classic_ite
17062892,cache-references,1.64%
113817,cache-misses,3.59%
72899807,branches,1.71%
4379074,branch-misses,1.67%

wild
13974581,cache-references,1.34%
122916,cache-misses,3.89%
89052097,branches,1.09%
4992500,branch-misses,1.18%

yaro
11502763,cache-references,1.26%
96731,cache-misses,2.89%
65985224,branches,1.70%
3232343,branch-misses,2.68%

yaro_opt
11822041,cache-references,1.54%
100908,cache-misses,3.17%
65475733,branches,1.75%
3586260,branch-misses,1.79%

yaro_opt_13
11601623,cache-references,1.20%
98575,cache-misses,3.14%
64056227,branches,1.29%
3370960,branch-misses,1.74%

triple
12571285,cache-references,1.20%
105525,cache-misses,3.90%
78865865,branches,1.12%
4351623,branch-misses,1.55%


100000
9378126,cache-references,1.60%
92689,cache-misses,4.80%
42752355,branches,1.25%
2177886,branch-misses,1.73%

jdk7
14479978,cache-references,0.98%
115006,cache-misses,3.93%
119085250,branches,0.82%
5896551,branch-misses,0.74%

classic
13520008,cache-references,1.21%
96061,cache-misses,4.47%
69053963,branches,1.07%
3929422,branch-misses,0.91%

classic_ite
18843518,cache-references,1.99%
160832,cache-misses,2.86%
104845417,branches,1.61%
6469546,branch-misses,2.01%

wild
16844906,cache-references,3.36%
125952,cache-misses,4.11%
138946551,branches,5.93%
7618635,branch-misses,4.66%

yaro
12456654,cache-references,1.22%
103010,cache-misses,2.85%
87495326,branches,1.54%
4346588,branch-misses,2.03%

yaro_opt
12457544,cache-references,1.75%
104725,cache-misses,4.11%
84552639,branches,1.98%
4728989,branch-misses,2.12%

yaro_opt_13
12756962,cache-references,1.24%
102455,cache-misses,3.49%
85913185,branches,2.18%
4813444,branch-misses,1.64%

triple
13319435,cache-references,1.42%
103166,cache-misses,2.67%
93668450,branches,1.87%
5442794,branch-misses,1.62%


300000
9654931,cache-references,1.41%
97287,cache-misses,4.38%
43197070,branches,1.21%
2294370,branch-misses,1.75%

jdk7
15486206,cache-references,1.26%
124641,cache-misses,2.73%
155667653,branches,1.57%
8078709,branch-misses,1.00%

classic
13531819,cache-references,2.30%
132580,cache-misses,4.38%
84433176,branches,1.67%
6130920,branch-misses,1.63%

classic_ite
20026926,cache-references,1.37%
233688,cache-misses,5.22%
133925184,branches,1.05%
9187601,branch-misses,1.19%

wild
17263673,cache-references,2.12%
197047,cache-misses,4.55%
161110597,branches,3.28%
9960742,branch-misses,2.84%

yaro
12769670,cache-references,1.77%
127215,cache-misses,5.08%
107541898,branches,1.20%
6437380,branch-misses,1.39%

yaro_opt
15055109,cache-references,1.27%
128235,cache-misses,4.88%
131533697,branches,1.27%
8012612,branch-misses,1.60%

yaro_opt_13
15431904,cache-references,1.11%
118884,cache-misses,3.08%
132604701,branches,1.22%
8073961,branch-misses,1.30%

triple
15804233,cache-references,1.34%
123970,cache-misses,3.10%
149153129,branches,2.06%
9001038,branch-misses,1.97%


1000000
9939543,cache-references,1.69%
110889,cache-misses,4.58%
49221549,branches,1.36%
2703923,branch-misses,2.21%

jdk7
16477107,cache-references,1.32%
175830,cache-misses,2.76%
215783403,branches,0.73%
14396320,branch-misses,0.85%

classic
15412945,cache-references,1.02%
149574,cache-misses,2.56%
148712375,branches,1.07%
13777808,branch-misses,0.52%

classic_ite
23274309,cache-references,1.24%
423088,cache-misses,5.59%
220668635,branches,0.92%
16747301,branch-misses,0.82%

wild
19443090,cache-references,2.45%
182035,cache-misses,2.14%
248978332,branches,2.41%
18210549,branch-misses,1.44%

yaro
13455945,cache-references,1.23%
160770,cache-misses,2.57%
171617873,branches,0.89%
13797546,branch-misses,0.88%

yaro_opt
16155397,cache-references,1.08%
171411,cache-misses,2.78%
200166186,branches,0.56%
14842391,branch-misses,0.79%

yaro_opt_13
16105563,cache-references,1.35%
175586,cache-misses,2.41%
198727288,branches,0.73%
15046335,branch-misses,0.74%

triple
16836026,cache-references,1.09%
178224,cache-misses,2.91%
229175952,branches,1.04%
16539888,branch-misses,0.76%


3000000
10735914,cache-references,1.84%
151604,cache-misses,2.89%
62056678,branches,1.14%
3638157,branch-misses,2.52%

jdk7
17762728,cache-references,1.64%
211479,cache-misses,2.51%
378887244,branches,0.66%
33793260,branch-misses,0.35%

classic
18183462,cache-references,1.30%
194146,cache-misses,1.75%
303489257,branches,1.42%
35848079,branch-misses,0.36%

classic_ite
29370743,cache-references,1.08%
787753,cache-misses,9.22%
413735166,branches,1.05%
39141261,branch-misses,0.74%

wild
20924994,cache-references,2.40%
232038,cache-misses,1.86%
423433425,branches,1.23%
41306329,branch-misses,0.59%

yaro
15438460,cache-references,1.98%
205571,cache-misses,2.98%
331993114,branches,0.84%
34221798,branch-misses,0.47%

yaro_opt
17122160,cache-references,1.53%
221899,cache-misses,2.41%
353074275,branches,0.70%
35602793,branch-misses,0.49%

yaro_opt_13
17820590,cache-references,1.28%
216943,cache-misses,2.88%
370426535,branches,0.48%
35792199,branch-misses,0.43%

triple
18644532,cache-references,1.35%
226197,cache-misses,2.62%
427875328,branches,0.62%
37735979,branch-misses,0.35%


10000000
11334448,cache-references,2.23%
209586,cache-misses,1.82%
106294073,branches,0.70%
7096297,branch-misses,1.60%

jdk7
25635582,cache-references,2.25%
340120,cache-misses,1.43%
1013753828,branches,0.60%
107741926,branch-misses,0.22%

classic
29495416,cache-references,1.26%
336773,cache-misses,1.22%
832474363,branches,1.94%
120154572,branch-misses,0.14%

classic_ite
51950969,cache-references,0.61%
1388862,cache-misses,2.59%
1096596447,branches,1.38%
121773866,branch-misses,0.29%

wild
27438181,cache-references,1.57%
323224,cache-misses,1.48%
1090500943,branches,0.42%
127690589,branch-misses,0.26%

yaro
21313040,cache-references,1.05%
312981,cache-misses,2.03%
933322483,branches,0.52%
112638063,branch-misses,0.16%

yaro_opt
23644349,cache-references,0.86%
328386,cache-misses,1.66%
966074145,branches,0.66%
113854885,branch-misses,0.21%

yaro_opt_13
24104102,cache-references,1.11%
326633,cache-misses,2.12%
982739966,branches,0.43%
113312845,branch-misses,0.17%

triple
25607589,cache-references,0.92%
328211,cache-misses,2.19%
1188312441,branches,0.39%
117587680,branch-misses,0.30%


